id,Time,user,text,latitude,longitude
27730062,Sat Nov 17 02:53:14 +0000 2018,ibp3000,b'#LAKings goal! @ United Center https://t.co/CkOt9N18kl',41.88059904,-87.67399833
765348110201712640,Sat Nov 17 02:52:01 +0000 2018,therescharlie,"b'?If anything, tonight I learned that there are so many amazing beers out there.??@J_M_Walker #fobab @ UIC Forum https://t.co/PWsmEOcwBR'",41.86679123,-87.64573997
819754514362277888,Sat Nov 17 02:52:00 +0000 2018,FluidPolishing,b'Doing a emergency fuel polishing job on a marina crane used to lift boats out of the water for the season. We were? https://t.co/VDQHaF4HTu',41.883222,-87.632496
126503318,Sat Nov 17 02:51:40 +0000 2018,bellafilippi,"b'How can I make you understand that this #book it?s a must for any #bookworm ? ??\n.\n.\nI had goosebumps reading it,\nh? https://t.co/bmAz27W9Y1'",41.883222,-87.632496
915507481,Sat Nov 17 02:50:11 +0000 2018,rendimi_libera,"b'Foto appena pubblicata @ Chicago, Illinois https://t.co/mbgfnzvqZC'",41.883222,-87.632496
3300123271,Sat Nov 17 02:50:02 +0000 2018,thejacksonapier,"b'Turtleneck Raincoat from scratch. ? @ Chicago, Illinois https://t.co/MbhOYxJbAv'",41.883222,-87.632496
1572821,Sat Nov 17 02:48:48 +0000 2018,pandabrand,b'See you lovely people tomorrow night https://t.co/PjM2ztVeO0',41.92385864,-87.70863869
10156952,Sat Nov 17 02:47:59 +0000 2018,petesieger,"b'Chicago Architecture Center - CAC | Chicago, IL | Adrian Smith + Gordon Gill Architecture; Gallagher &amp; Associates\n.? https://t.co/dXpol1z5Ax'",41.88761546,-87.62364574
915507481,Sat Nov 17 02:47:56 +0000 2018,rendimi_libera,"b""I chose to live here forever #chicago ?? @ Printer's Row, Chicago https://t.co/ju27XmhPUq""",41.87261,-87.63279
338812163,Sat Nov 17 02:47:54 +0000 2018,virtuforyou,"b'Apparently no one likes the peanut squash. ??? @ Bucktown, Chicago https://t.co/G5BxmMrX3a'",41.916925,-87.675103
742294694,Sat Nov 17 02:47:01 +0000 2018,ktbautista1,"b""I'm at ??? Meet Fresh in Chicago, IL w/ @tracetraz https://t.co/ajHbDURxGV https://t.co/VDaK4XUZrP""",41.85448031,-87.63020138
75825850,Sat Nov 17 02:46:10 +0000 2018,c_got_sole,b'Date Night Action ?? #foodporn @ Brazilian Bowl https://t.co/jqlO5lubou',41.9402476,-87.6445249
2420710740,Sat Nov 17 02:45:32 +0000 2018,DavidRivera564,b'Celo Patrick @ Chop Shop https://t.co/8kgq8QTuQ7',41.91016241,-87.67881513
443783189,Sat Nov 17 02:45:14 +0000 2018,TFEBOSS,b'More cook up ?? #PowerCircle ? @ Montrose Beach https://t.co/WEocfm9S8l',41.96638353,-87.63921222
